image,success,wheel_detections,keypoints_estimated,avg_confidence,quality_score,review_priority,review_priority_legacy,orientation,out_of_frame_count,warnings,error
stanford_raw_00058_cars_test_00060.jpg,True,2,19,0.9188,0.8588,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.505 margin=0.010,
stanford_raw_00064_cars_test_00066.jpg,True,2,19,0.8742,0.8342,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.540 margin=0.079,
stanford_raw_00089_cars_test_00095.jpg,True,2,19,0.9352,0.9152,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.540 margin=0.081,
stanford_raw_00091_cars_test_00097.jpg,True,2,19,0.8965,0.8365,REVIEW_LOW,LOW,left-looking,2,orientation_clip: left-looking confidence=0.560 margin=0.120,
stanford_raw_00103_cars_test_00109.jpg,True,2,19,0.9235,0.8835,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.635 margin=0.271,
stanford_raw_00128_cars_test_00135.jpg,True,2,19,0.9192,0.8992,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.547 margin=0.093,
stanford_raw_00132_cars_test_00140.jpg,True,2,19,0.8227,0.7827,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.548 margin=0.095,
stanford_raw_00146_cars_test_00154.jpg,True,2,19,0.8826,0.8626,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.537 margin=0.074,
stanford_raw_00151_cars_test_00159.jpg,True,2,19,0.9099,0.8499,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.513 margin=0.027,
stanford_raw_00156_cars_test_00164.jpg,True,2,19,0.9036,0.8636,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.525 margin=0.051,
stanford_raw_00159_cars_test_00167.jpg,True,2,19,0.8786,0.8186,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.529 margin=0.057,
stanford_raw_00166_cars_test_00174.jpg,True,2,19,0.8099,0.7699,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.519 margin=0.038,
stanford_raw_00176_cars_test_00184.jpg,True,2,19,0.8465,0.8065,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.534 margin=0.068,
stanford_raw_00192_cars_test_00200.jpg,True,2,19,0.8494,0.8094,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.514 margin=0.027,
stanford_raw_00195_cars_test_00203.jpg,True,2,19,0.8551,0.8151,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.514 margin=0.028,
stanford_raw_00207_cars_test_00215.jpg,True,2,19,0.8319,0.8119,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.516 margin=0.032,
