filename,suggested_label,final_label,side_view_score,source,query,preselect_notes,width,height
car_side_profile__000010.jpg,side_view_valid,,1.0,raw,suv side profile studio shot,query_has_side_view; dir_has_side_view; studio_indicator; good_aspect:1.90,1328,700
car_side_profile_isolated__000027.jpg,side_view_valid,,1.0,raw,car side profile isolated,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33,800,603
car_side_view_white_background__000017.jpg,side_view_valid,,1.0,raw,car side view white background,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:2.41,1920,798
car_side_view_white_background__000040.jpg,side_view_valid,,1.0,raw,sedan side view white background,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.95,800,411
car_side_view_white_background__000045.jpg,side_view_valid,,1.0,raw,suv side view press release,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.69,1184,700
sedan_side_profile_studio_shot__000004.jpg,side_view_valid,,1.0,raw,sedan side profile studio shot,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33,800,603
sedan_side_profile_studio_shot__000009.jpg,side_view_valid,,1.0,raw,suv side view press release,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33,800,603
sedan_side_profile_studio_shot__000033.jpg,side_view_valid,,1.0,raw,sedan side view press release,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33,800,603
sedan_side_profile_studio_shot__000035.jpg,side_view_valid,,1.0,raw,sedan side profile studio shot,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33,800,603
sedan_side_profile_studio_shot__000037.jpg,side_view_valid,,1.0,raw,sedan side profile studio shot,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33,800,603
sedan_side_profile_studio_shot__000041.jpg,side_view_valid,,1.0,raw,suv side view press release,query_has_side_view; dir_has_side_view; dir_studio_indicator; good_aspect:1.33,800,603
sedan_side_view_white_background__000003.jpg,side_view_valid,,1.0,raw,sedan side view white background,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.82,800,440
sedan_side_view_white_background__000023.jpg,side_view_valid,,1.0,raw,suv side profile studio shot,query_has_side_view; dir_has_side_view; studio_indicator; dir_studio_indicator; good_aspect:1.33,800,603
