status,json_path,image_path,label,source,reason
sample,yolo_training\side_view_dataset\labelme_json\000001.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000001.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_1.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000001_1.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_3.json,yolo_training\side_view_scrape\images\quality_pass\labeled_from_phase1\000001_3.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_4.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000001_4.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_sedan_side_view.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000001_sedan_side_view.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_suv_side_view.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000001_suv_side_view.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_suv_side_view_press_release.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000001_suv_side_view_press_release.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_suv_side_view_street.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000001_suv_side_view_street.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000001_suv_side_view_white_background.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000001_suv_side_view_white_background.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000002_1.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\000002_1.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000002_2.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000002_2.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000002_3.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000002_3.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000002_4.json,yolo_training\side_view_dataset\annotation_batches\batch_010\000002_4.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000003.json,yolo_training\side_view_scrape\images\discarded_bad_quality\000003.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000003_2.json,yolo_training\side_view_dataset\annotation_batches\batch_011\images\000003_2.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000003_sedan_side_view_white_background.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000003_sedan_side_view_white_background.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000004_suv_side_view.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000004_suv_side_view.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000005_side_profile_car_review.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000005_side_profile_car_review.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000005_suv_side_profile_studio_shot.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000005_suv_side_profile_studio_shot.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000005_toyota_camry_side_view.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000005_toyota_camry_side_view.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000008_sedan_side_view_street.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000008_sedan_side_view_street.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000008_suv_side_view.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000008_suv_side_view.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000009_sedan_side_view_white_background.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000009_sedan_side_view_white_background.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000011_suv_side_view.json,yolo_training\side_view_dataset\annotation_batches\batch_004\images\000011_suv_side_view.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000018_suv_side_view_white_background.json,yolo_training\side_view_dataset\annotation_batches\batch_005\images\000018_suv_side_view_white_background.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000021_suv_side_view_white_background.json,yolo_training\side_view_dataset\annotation_batches\batch_005\images\000021_suv_side_view_white_background.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000023_suv_side_profile_studio_shot.json,yolo_training\side_view_dataset\annotation_batches\batch_005\images\000023_suv_side_profile_studio_shot.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\000026_suv_side_profile_studio_shot.json,yolo_training\side_view_dataset\annotation_batches\batch_005\images\000026_suv_side_profile_studio_shot.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\06f72a22663d48e2bdc57b511b4bc91b.json,dataset_raw\cars_train\06f72a22663d48e2bdc57b511b4bc91b.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\0b179bac17f9455a88be1b3072e1ce82.json,dataset_raw\cars_train\0b179bac17f9455a88be1b3072e1ce82.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\0d40f777e07245d39fc97cb6a5328f82.json,yolo_training\side_view_dataset\annotation_batches\batch_001\images\0d40f777e07245d39fc97cb6a5328f82.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\14bba5d36e8c4bb3a3e0be1a760fb535.json,dataset_raw\cars_train\14bba5d36e8c4bb3a3e0be1a760fb535.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\1a2afe04aee04341bc2cd59735d38110.json,dataset_raw\cars_train\1a2afe04aee04341bc2cd59735d38110.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\1e974620f20e4f5696197da46aceba89.json,dataset_raw\images\train\labeled_from_candidates\1e974620f20e4f5696197da46aceba89.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\266122a3e4d64f2f93849913b1b04777.json,yolo_training\side_view_dataset\annotation_batches\batch_001\images\266122a3e4d64f2f93849913b1b04777.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\28b6c78476954bbf9d1ff05069ffb869.json,yolo_training\side_view_dataset\annotation_batches\batch_007\images\28b6c78476954bbf9d1ff05069ffb869.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\2cef49a5fb5746ecb452137074efc1d1.json,dataset_raw\cars_train\2cef49a5fb5746ecb452137074efc1d1.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\2d225fdb42bc42948cf85375f06833af.json,yolo_training\side_view_dataset\annotation_batches\batch_001\images\2d225fdb42bc42948cf85375f06833af.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\3ba9eb0b4eda460eb2176846163472b7.json,dataset_raw\cars_train\3ba9eb0b4eda460eb2176846163472b7.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\3c8524cf9330480b95104760ef3db182.json,yolo_training\side_view_dataset\annotation_batches\batch_007\images\3c8524cf9330480b95104760ef3db182.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\40c1b5e7a2ff4fd7896933faf52aca5b.json,yolo_training\side_view_dataset\annotation_batches\batch_007\images\40c1b5e7a2ff4fd7896933faf52aca5b.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\43b7b7aa25614f37a0688e043fc92f59.json,dataset_raw\cars_train\43b7b7aa25614f37a0688e043fc92f59.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\4906d518d257493491b2e7a9105b0127.json,dataset_raw\images\train\labeled_from_candidates\4906d518d257493491b2e7a9105b0127.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\49b91a8098814ae28f4e19b2093c04e0.json,dataset_raw\images\train\labeled_from_candidates\49b91a8098814ae28f4e19b2093c04e0.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\4b63324f014d4d16a3697e6c25dd3382.json,dataset_raw\images\train\labeled_from_candidates\4b63324f014d4d16a3697e6c25dd3382.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\4d16ff1dded74e09b2cab9a7c4ea0b33.json,dataset_raw\cars_train\4d16ff1dded74e09b2cab9a7c4ea0b33.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\4d75c5a6c7ad4d9e9ff65c8828989552.json,yolo_training\side_view_dataset\annotation_batches\batch_002\images\4d75c5a6c7ad4d9e9ff65c8828989552.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\66d54dc251164fe2ba028e180a0582c6.json,dataset_raw\images\train\labeled_from_candidates\66d54dc251164fe2ba028e180a0582c6.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\6d18d18705eb471bb17d0d6f85bc8b84.json,dataset_raw\cars_train\6d18d18705eb471bb17d0d6f85bc8b84.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\7136186a396447668d39f0fd96644697.json,dataset_raw\cars_train\7136186a396447668d39f0fd96644697.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\77452f94cc0948efafaf576322275f88.json,dataset_raw\images\train\labeled_from_candidates\77452f94cc0948efafaf576322275f88.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\7c7d9946948442c1856c9b3b3dc0b1d2.json,dataset_raw\cars_train\7c7d9946948442c1856c9b3b3dc0b1d2.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\80040de2161745fd81831178069de009.json,dataset_raw\cars_train\80040de2161745fd81831178069de009.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\82597010a7114f698201d82c6a03adbc.json,dataset_raw\cars_train\82597010a7114f698201d82c6a03adbc.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\85c130e34cfa46888646069a1f3f6914.json,dataset_raw\cars_train\85c130e34cfa46888646069a1f3f6914.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\8cdc479cbc334d6ea270fecf9c6fc11e.json,dataset_raw\cars_train\8cdc479cbc334d6ea270fecf9c6fc11e.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\98bed59881bc440eaa062d5d03eb58d9.json,dataset_raw\cars_train\98bed59881bc440eaa062d5d03eb58d9.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\9b761034d8bf4f48ad3198f8b5d12b0a.json,dataset_raw\cars_train\9b761034d8bf4f48ad3198f8b5d12b0a.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\9c09af7696694bc2955ef76a0a508bd0.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\9c09af7696694bc2955ef76a0a508bd0.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\a070e82633774546aebfcb2f168cc1bd.json,dataset_raw\images\train\labeled_from_candidates\a070e82633774546aebfcb2f168cc1bd.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\a251f17f78df4e40add8022ff579efcb.json,yolo_training\side_view_dataset\annotation_batches\batch_006\images\a251f17f78df4e40add8022ff579efcb.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\a26489cf79d34e679a3d8ff0231479b7.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\a26489cf79d34e679a3d8ff0231479b7.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\a71a2301c5184dfcb6596d5b11a63141.json,yolo_training\side_view_dataset\annotation_batches\batch_006\images\a71a2301c5184dfcb6596d5b11a63141.jpg,left-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\ac8242c740eb4f0aacb9c12e37060082.json,dataset_raw\images\train\labeled_from_candidates\ac8242c740eb4f0aacb9c12e37060082.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\afe1c30d4ca948c28b1a957f30d8e010.json,yolo_training\side_view_dataset\annotation_batches\batch_013\images\afe1c30d4ca948c28b1a957f30d8e010.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\b67acfa8e385462aa06e81ff2547e1e7.json,yolo_training\side_view_dataset\annotation_batches\batch_012\images\b67acfa8e385462aa06e81ff2547e1e7.jpg,right-looking,bumper+wheel,
sample,yolo_training\side_view_dataset\labelme_json\c2aa7a0befcb4e78ab0b3a19daca027b.json,dataset_raw\images\train\labeled_from_candidates\c2aa7a0befcb4e78ab0b3a19daca027b.jpg,left-looking,bumper+wheel,
