image,success,wheel_detections,keypoints_estimated,avg_confidence,quality_score,review_priority,out_of_frame_count,warnings,error
000001_jpg.rf.db533604c32127a859551b2bccf2322c.jpg,True,2,5,0.7998,0.5798,HIGH,1,phase1_low_confidence: one or more Phase 1 keypoints below threshold,
000001_sedan_side_view_jpg.rf.dab757d3d8b15af8a39c37135babc4d9.jpg,True,2,5,0.8934,0.8734,LOW,1,,
000001_suv_side_view_jpg.rf.ac56efe87c04bc142502dff1d2dab47f.jpg,True,2,5,0.8891,0.8891,LOW,0,,
000001_suv_side_view_press_release_jpg.rf.704e0c4a5b0eedd3752ebd61247dffa9.jpg,True,2,5,0.8833,0.8833,LOW,0,,
000001_suv_side_view_street_jpg.rf.c446338d5900d1d71349af535d9b62ce.jpg,True,2,5,0.8825,0.8825,LOW,0,,
000001_suv_side_view_white_background_jpg.rf.acb5bf868d78839d127dbefc714b7842.jpg,True,2,5,0.8928,0.8928,LOW,0,,
000002_jpeg.rf.c79068a726b929a285a8f62881aa9a8d.jpg,True,2,5,0.8842,0.5742,HIGH,3,non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
000002_jpg.rf.b02220bd117ab34cd29c6742a44dd236.jpg,True,2,5,0.8974,0.8974,LOW,0,,
000002_sedan_side_view_brochure_jpg.rf.02f5e6c32be00dcd0ff21ee05f18c152.jpg,True,2,5,0.2000,0.0000,HIGH,0,invalid_geometry: hood_edge not below roof_apex | invalid_geometry: front_bumper not below roof_apex | invalid_geometry: rear_bumper not below roof_apex | invalid_wheelbase: 0.0px (expected 40-5000) | low_confidence: 19 keypoints below 0.5 | phase1_low_confidence: one or more Phase 1 keypoints below threshold,
000003_jpg.rf.b7e39dbbdb7abd4697c0f4e8aad220c7.jpg,True,2,5,0.8770,0.8770,LOW,0,,
000003_sedan_side_view_white_background_jpg.rf.7b5ebc93c4e509555c79986b24967c27.jpg,True,2,5,0.8874,0.8874,LOW,0,,
000004_jpg.rf.03d80c69d75920849b2ea8b4f384ad84.jpg,True,2,5,0.8489,0.8089,LOW,2,,
000004_sedan_side_view_jpg.rf.20f9c548ca9215ebd44860dec2298fd9.jpg,True,2,5,0.8630,0.8630,LOW,0,,
000004_suv_side_view_jpg.rf.bc85f7436f46305c8babe332b59814c2.jpg,True,2,5,0.8925,0.8925,LOW,0,,
000005_jpg.rf.2fe01407ad24cde84b22d9b29d4160e0.jpg,True,2,5,0.8959,0.8959,LOW,0,,
